,projectid,teacher_acctid,schoolid,school_ncesid,school_latitude,school_longitude,school_city,school_state,school_metro,school_district,school_county,school_charter,school_magnet,teacher_prefix,primary_focus_subject,primary_focus_area,secondary_focus_subject,secondary_focus_area,resource_type,poverty_level,grade_level,total_price_including_optional_support,students_reached,eligible_double_your_impact_match,date_posted,datefullyfunded
79615,a2db025baa641046e1ac7135963c94b0,3dff3134a52f4a1dab9d40eddc12b115,0326d526f145973de2b8f304bd6bb0c0,40633000540.0,33.50442,-112.02176399999999,Phoenix,AZ,urban,Phoenix Union High SD 210,Maricopa,f,f,Ms.,Literacy,Literacy & Language,Special Needs,Special Needs,Supplies,high poverty,Grades 9-12,936.22,170.0,f,7/11/12,9/20/12
66605,8867f4661d8c10a323a571fd1b5403ca,9e604ddbbe4aef1e9a804d035e146b68,8aac44b1459a272bc71f0818e82245a6,360009000000.0,40.668784,-73.983102,Brooklyn,NY,urban,New York City Dept Of Ed,Kings (Brooklyn),f,f,Ms.,Literacy,Literacy & Language,Mathematics,Math & Science,Other,moderate poverty,Grades 3-5,511.62,26.0,t,7/28/12,8/14/12
5607,0bc3a8e547d90de7f7e98c30600a8e43,f07524b59cf61af73eb89009dcc89cea,759c3bc8faf73854152a55ce0eee0b78,172427000000.0,41.419270000000004,-87.982803,Manhattan,IL,rural,Manhattan School Dist 114,Will,f,f,Ms.,Foreign Languages,Literacy & Language,Literacy,Literacy & Language,Technology,moderate poverty,Grades PreK-2,523.01,23.0,f,3/16/12,4/30/12
51283,6992cb0b68d60eadf64e87a897b91365,759bf4be96c16e37d3f585e4242dc869,f4c6d434807aa6eb9f6f208282194f3f,370363000000.0,36.426926,-78.978613,Roxboro,NC,rural,Person Co School District,Person,f,f,Mrs.,History & Geography,History & Civics,,,Supplies,high poverty,Grades 6-8,179.06,50.0,f,8/25/12,11/19/12
100816,ce4583b04bddbae47238ec12e36100ed,3a13a836c36eb09f9f5e90e82cccd882,397ff484f60f3c8c026345bfc7f161a7,370472000000.0,35.7807,-78.764361,Cary,NC,urban,Wake Co School District,Wake,f,f,Mrs.,Environmental Science,Math & Science,,,Technology,moderate poverty,Grades 6-8,800.62,115.0,f,10/6/13,1/7/14
25249,34132c8d423d46a8e1f1b8e4450c954c,bdac09f13c9fe1390e7b07a1f30b5cbc,0e96365d48bbf748765f12385d758540,,42.276763,-83.552214,Ypsilanti,MI,suburban,Michigan Dept of Education,Washtenaw,t,f,Mrs.,Literacy,Literacy & Language,Literature & Writing,Literacy & Language,Books,high poverty,Grades 3-5,665.55,25.0,f,11/4/12,1/8/13
20360,2a018965124e15d56d292f9d748258e0,2b27ad9d6c625e41e4b87ae89e864102,092fde987267c08257f51e098cfc328c,210519000000.0,36.856796,-86.89987099999999,Russellville,KY,rural,Russellville Ind School Dist,Logan,f,f,Mrs.,Special Needs,Special Needs,Character Education,Applied Learning,Other,highest poverty,Grades PreK-2,285.79,15.0,f,4/22/12,5/29/12
37687,4db0fbf3e00a97123e241d1a553a1f8b,94456c7bbf28a4911d244435eebc7671,93603a4f3ad9dc23f3beb1113650e84f,181281000000.0,39.781775,-86.288338,Indianapolis,IN,urban,Msd Of Wayne Twp,Marion,f,f,Mrs.,Extracurricular,Applied Learning,,,Supplies,highest poverty,Grades 3-5,459.68,20.0,t,8/14/13,8/28/13
33214,448cad43668b07f0f5f8ad6f1c1eb5eb,a9ad2cf605bba1fe82e8f234b94d6e73,1f80e906391fc7c0f3d47cf2b4cf91f1,62271003346.0,33.972623,-118.31596499999999,Los Angeles,CA,,Los Angeles Unif Sch Dist,Los Angeles,f,t,Ms.,Literacy,Literacy & Language,Mathematics,Math & Science,Technology,high poverty,Grades PreK-2,365.32,26.0,t,2/1/12,3/23/12
56399,7436be0357ddf9d91475c299f72068b6,5527efc4c01588ced01c0a6117a1a7ee,8c1082262694295432ad3ef28ce69e96,510027000000.0,38.858371999999996,-77.125504,Arlington,VA,urban,Arlington Public Schools,Arlington,f,f,Ms.,Literacy,Literacy & Language,ESL,Literacy & Language,Books,high poverty,Grades PreK-2,401.21,18.0,f,3/18/12,4/29/12
52256,6b876086351ecc860baaf97412c4d573,e77544346fda05c52025c5ba6ff63640,e21f27fcc10c9d4735057042e39257d7,490042000000.0,40.616335,-111.938802,West Jordan,UT,suburban,Jordan School District,Salt Lake,f,f,Ms.,Mathematics,Math & Science,Early Development,Applied Learning,Supplies,highest poverty,Grades PreK-2,2478.52,42.0,f,9/29/13,11/5/13
13037,1af31338794e23443b3982195183a730,d308051b90a614ee73d446e5dbb1eacd,c626e00df4ca06446614888f69e7c945,,41.495847,-90.570414,Rock Island,IL,,Rock Island-milan Sch Dist 41,Rock Island,f,f,Mrs.,Literacy,Literacy & Language,,,Supplies,highest poverty,Grades 3-5,412.87,535.0,f,12/30/13,2/18/14
54344,6fd0dc424c4fac19c73903a49c6bd76a,765bcfb10ecebecf5749774345e81119,75513973f12f2a1d74a094ffdcb66237,402277000000.0,35.583688,-97.55945200000001,Oklahoma City,OK,urban,Oklahoma City School Dist,Oklahoma,f,f,Ms.,Literacy,Literacy & Language,,,Books,highest poverty,Grades PreK-2,329.94,18.0,f,1/17/12,2/26/12
81391,a66d173daab1d46999df95a8172a1efb,97026ac34c980013a426195d0b41ce25,07ce92e6a44cfe5e1de3b10b3d92848d,370192000000.0,35.947063,-79.856186,Greensboro,NC,urban,Guilford Co School District,Guilford,f,f,Mr.,Environmental Science,Math & Science,Applied Sciences,Math & Science,Technology,high poverty,Grades 9-12,375.08,180.0,f,6/2/13,6/11/13
49504,65d877695bcd8475800244befc1b33d8,bd6580610e730895d7436d35bcaa7705,f4e53f4f4cfd03fdd1e3bfcd5cce367d,480771000000.0,29.946998999999998,-95.362835,Houston,TX,suburban,Aldine Ind School District,Harris,f,f,Ms.,Literacy,Literacy & Language,Literature & Writing,Literacy & Language,Supplies,highest poverty,Grades PreK-2,465.13,45.0,f,8/23/13,9/15/13
115345,ec3494e9799aa45c718b804ac8bba701,299105eadb9c721547d24694b4ad09fd,2c0f2bbd616f598f6845e979dff49924,450144000000.0,32.719152,-80.077451,Johns Island,SC,rural,Charleston Co School District,Charleston,f,f,Mrs.,Literature & Writing,Literacy & Language,,,Supplies,highest poverty,Grades 3-5,379.38,41.0,t,9/11/12,10/4/12
21354,2c02c676cd61b3a57c98913c884113a7,0f43953d4940a1aea21dd491b5b9dfc2,2fd0fbb872ae82b495dda2c46aeab7c7,170993000000.0,41.950804,-87.66552,Chicago,IL,urban,Ravenswood-ridge Elem Network,Cook,f,t,Mrs.,College & Career Prep,Applied Learning,Literacy,Literacy & Language,Technology,moderate poverty,Grades PreK-2,507.22,28.0,f,10/8/13,11/2/13
97345,c7498cf74e447f8f8e69256832d88fc5,598c40a440a81cabdb58ce5f7613277c,c63624bbbab66d33ddbe1198c92bacb0,62271003360.0,34.075846999999996,-118.23218700000001,Los Angeles,CA,urban,Los Angeles Unif Sch Dist,Los Angeles,f,f,Ms.,Health & Wellness,Health & Sports,Sports,Health & Sports,Supplies,highest poverty,Grades 3-5,387.78,28.0,f,1/20/12,3/13/12
65057,855bca9ad7c2644455f8d0451429f325,db7cc71d36f1ff8ff703467d26613f9d,81b33b26ddbd7035c58b3033c561b9f4,450282000000.0,34.043074,-81.126762,Columbia,SC,urban,Lexington-richland Co SD 5,Lexington,f,f,Mrs.,Literacy,Literacy & Language,Civics & Government,History & Civics,Other,high poverty,Grades PreK-2,173.33,15.0,f,3/12/12,5/4/12
22255,2df23578066b31faf6307334dca92219,ac830848b276f3a446fab036ad9ee4b4,15331d91ef5049e153ebdea465f29b9b,62271011646.0,34.070496,-118.30805500000001,Los Angeles,CA,urban,Los Angeles Unif Sch Dist,Los Angeles,f,f,Ms.,Literacy,Literacy & Language,Foreign Languages,Literacy & Language,Books,highest poverty,Grades 3-5,385.29,28.0,t,1/23/12,2/17/12
82314,a86835b52e9d8d38c87380c770fd53e2,e26e383afb5643af0d7f7bebbd4d7b59,73453415411be146a0bbbeb9ee397c33,62271003347.0,34.252296,-118.432533,Pacoima,CA,urban,Los Angeles Unif Sch Dist,Los Angeles,f,f,Ms.,Literature & Writing,Literacy & Language,Social Sciences,History & Civics,Technology,highest poverty,Grades 3-5,803.79,30.0,f,2/18/12,5/12/12
1698,039da7916d80cf1a5f4f7e13abcea4b4,67b6985f1283fcccd9702f6bfebba9fb,9831969d099a5c6952df27af2135683e,60002009282.0,37.668294,-121.873397,Pleasanton,CA,urban,Pleasanton Unified School Dist,Alameda,f,f,Mrs.,Applied Sciences,Math & Science,,,Other,low poverty,Grades 9-12,547.33,600.0,t,2/19/12,3/20/12
9669,13f6be1b0a3a47f977b7fc63f2c030e7,6f61180e79c8cb52a574ab0db2406bc7,69dec26fd45cd8be455bc698e2c24e47,62271003215.0,34.087734000000005,-118.21913899999998,Los Angeles,CA,urban,Los Angeles Unif Sch Dist,Los Angeles,f,f,Mr.,Mathematics,Math & Science,Literacy,Literacy & Language,Technology,high poverty,Grades 6-8,830.46,29.0,f,1/19/13,3/6/13
12470,19b07bd00c6a6e63933b376250f6ca56,33d520c56a18cc92b7768fa5b9429234,d93769ccab802c8daef7f8ad4c76f224,200914000000.0,37.693104999999996,-97.349254,Maize,KS,rural,Maize Unified School Dist 266,Sedgwick,f,f,Mrs.,Mathematics,Math & Science,Early Development,Applied Learning,Supplies,moderate poverty,Grades PreK-2,798.92,200.0,f,9/30/13,10/21/13
15081,1f3bab5e2b9ad30b32b23137c5b0cc55,b286ee9006dc4abd763c2a0d6e54f409,9f36701b2532693a6aecdaeefaeed2dd,,38.604313,-90.241795,Saint Louis,MO,,St Louis City Public Sch Dist,St Louis,t,f,Ms.,Music,Music & The Arts,Performing Arts,Music & The Arts,Other,highest poverty,Grades 6-8,757.64,100.0,f,4/1/12,5/6/12
38553,4f69b604c089582209df5b5c4bf8b776,34ef47c0429cae06e3540bfa432818bb,ccc3b60d726181d2923f39bee3957b91,290531000000.0,39.016785,-94.374902,Lees Summit,MO,suburban,Blue Springs School Dist R4,Jackson,f,f,Ms.,Mathematics,Math & Science,Literacy,Literacy & Language,Technology,low poverty,Grades PreK-2,584.32,20.0,f,10/16/12,12/7/12
94659,c1bcbdc32f317b0e89882a49a5cf50ad,d3326f20258913062fa29ff61b4d2702,da6548bf20b2b5130eafba0cde9c1c61,450363000000.0,34.906583000000005,-81.924458,Spartanburg,SC,urban,Spartanburg School District 6,Spartanburg,f,f,Ms.,Literacy,Literacy & Language,,,Technology,high poverty,Grades PreK-2,263.88,30.0,f,12/15/12,1/24/13
65146,858a3c78e48cdecf333671765d800688,557cb9c15ab646dcf6f2a94940cdbddc,f410efab42240517ac26d702f4892fed,62271003248.0,33.928734000000006,-118.261223,Los Angeles,CA,urban,Los Angeles Unif Sch Dist,Los Angeles,f,f,Ms.,Literature & Writing,Literacy & Language,Mathematics,Math & Science,Technology,high poverty,Grades PreK-2,2065.82,30.0,f,7/10/12,10/9/12
101938,d07e66139fc4557ec1fe9b7f7d70deed,95875eee4a83b4d0b8aca5d79e1ea21c,4cb465ec6dcf28c99f9007ecde782202,370003000000.0,36.073869,-79.42084200000001,Burlington,NC,urban,Alamance-burlington Sch Dist,Alamance,f,f,Mrs.,Literacy,Literacy & Language,,,Supplies,highest poverty,Grades PreK-2,545.4,19.0,f,1/21/13,3/2/13
31648,41743ca980d66c0ee151c61c6571d083,e92450a97fdb30ffae027b34d0af138d,21b7b0f52076c3077f185b4af2bf8adc,411004000000.0,45.537788,-122.56691000000001,Portland,OR,urban,Portland School District 1j,Multnomah,f,f,Ms.,Environmental Science,Math & Science,Health & Life Science,Math & Science,Books,highest poverty,Grades 3-5,976.82,30.0,t,9/2/13,9/15/13
43182,58f1d34fab03c327564a87eed2de9fca,29dddc4bf0f7c3d109dee491d0c869cc,97ebb1a4456df09818e05738274858d8,,32.949352000000005,-96.715599,Richardson,TX,,[County run],Dallas,t,f,Mrs.,Music,Music & The Arts,,,Technology,high poverty,Grades 6-8,981.04,235.0,f,9/17/13,10/5/13
104270,d568473096f4ec99b3e501b6bd78857f,921ee2382df6db6b02f16162257903fc,72f7b08b371ba45caaea700a5f294fa2,130150000000.0,33.345498,-84.655507,Sharpsburg,GA,rural,Coweta Co School District,Coweta,f,f,Ms.,Foreign Languages,Literacy & Language,,,Technology,high poverty,Grades 9-12,614.61,95.0,f,8/30/13,11/11/13
90032,b853cd87eef798fcc2e02b63ff08671e,fa3b3736c0c8fc294285f0ce680cee62,c30745a7c1441b436d80f15e52313c03,120156000000.0,27.85192,-82.716507,Pinellas Park,FL,suburban,Pinellas Co School District,Pinellas,f,f,Ms.,Visual Arts,Music & The Arts,Character Education,Applied Learning,Supplies,highest poverty,Grades 3-5,449.61,46.0,t,9/26/12,1/16/13
113850,e9028b478efa0e12e95a7783034b629a,15e87341fbcb934715ec6bcdfcbd08b4,03d4311ee04d51070a256061f5d57937,370488000000.0,35.50976,-77.981274,Pikeville,NC,rural,Wayne Co Public School Dist,Wayne,f,f,Ms.,Literature & Writing,Literacy & Language,,,Books,highest poverty,Grades 9-12,303.73,60.0,t,8/29/13,10/22/13
107737,dc73211c40eeb6d047f005ec92bfa566,1e01708db70a5d6411e82434c08a7838,70855eb4bc510c36fef916e662120679,62271003160.0,33.959351,-118.285812,Los Angeles,CA,urban,Los Angeles Unif Sch Dist,Los Angeles,f,f,Ms.,Mathematics,Math & Science,ESL,Literacy & Language,Technology,high poverty,Grades PreK-2,570.11,25.0,f,6/19/13,7/9/13
50127,6733be51a395ee0deb8fd4e3863afea6,4fc44a36aa7a4c33412b8b48a6769100,c3ef57810c02b84c10b4ec5842266631,411004000000.0,45.524345000000004,-122.639801,Portland,OR,urban,Portland School District 1j,Multnomah,f,t,Ms.,Literacy,Literacy & Language,Other,Applied Learning,Books,moderate poverty,Grades 6-8,834.84,500.0,f,3/14/12,3/22/12
6946,0e8501146ab022ff1627e891cc073754,a6e4f0a334f1fdbb0dd7c7797ba9a3c9,8b82a2cfabfb4734b643b1ed3e6a2326,61288001459.0,33.134322999999995,-117.087236,Escondido,CA,suburban,Escondido Union Elem Sch Dist,San Diego,f,f,Mrs.,Character Education,Applied Learning,Early Development,Applied Learning,Books,highest poverty,Grades PreK-2,201.4,27.0,f,12/16/12,2/10/13
91279,bad5a7f0492f5f30f11bf06ea9c46510,02a09ace8d578ef2300ffe6162bc087b,7119b7818699135f9d18c28bdf40743b,,29.74564,-95.78891,Katy,TX,,Katy Ind School District,Fort Bend,f,f,Mrs.,Literature & Writing,Literacy & Language,,,Books,moderate poverty,Grades 3-5,722.75,44.0,f,7/8/13,9/28/13
34024,462227f4fef31f90ee51fb6af402f8fb,2d66b14e4293d0106302d01b63dbb0fc,e7b1b49be63e4ee5c13ca0f81e19ea4e,240057000000.0,38.098415,-75.717628,Westover,MD,rural,Somerset Co Public School Dist,Somerset,f,f,Ms.,Applied Sciences,Math & Science,Mathematics,Math & Science,Supplies,highest poverty,Grades 6-8,589.82,80.0,f,12/21/13,1/13/14
124628,ff527276f97d267ef59f585be8bdfe39,b88a404ffb7e043a55e10f3a1b22b2eb,dbde53d7dbafbbb22ca60f36bb0019a5,62271009572.0,34.227558,-118.49913000000001,North Hills,CA,urban,Los Angeles Unif Sch Dist,Los Angeles,f,f,Mrs.,Literacy,Literacy & Language,Social Sciences,History & Civics,Technology,highest poverty,Grades PreK-2,471.85,25.0,t,1/19/12,2/14/12
16291,21aa5e32566031fcab9b32e06dadfe19,613b6251da54d780b0c8ce621f239a40,e24ade37b376a7eb770e7a994ec125ce,62691004072.0,37.590889000000004,-122.024651,Union City,CA,suburban,New Haven Unified School Dist,Alameda,f,f,Mrs.,Literature & Writing,Literacy & Language,Literacy,Literacy & Language,Books,high poverty,Grades 9-12,203.99,175.0,f,11/3/13,11/20/13
2344,050d9c873f2bc2f1bc8fc3686288818f,1f3ed030c93a37cd5f25f62789cd761a,3a51da831f043bddb19f434a185b8a6a,421779000000.0,41.183429,-76.189737,Shickshinny,PA,rural,Northwest Area School District,Luzerne,f,f,Mrs.,Applied Sciences,Math & Science,,,Technology,moderate poverty,Grades 9-12,437.32,118.0,f,5/10/12,7/17/12
76559,9ccb6fd603aa76b423fbee4c6a363b3c,68162e5fdbd18ee023c1b329d75bc8a1,d2b99bc012ba485d9af694785ec5554c,482772000000.0,33.157163,-96.899628,Little Elm,TX,,Little Elm Ind School District,Denton,f,f,Mrs.,Literacy,Literacy & Language,Other,Applied Learning,Other,high poverty,Grades PreK-2,452.05,21.0,f,11/22/12,12/8/12
28441,3adb22a5fdadd227644cd29d0ef19a68,8f5f946210894e569d67da52f698968e,01325b12aa99c04dc705ba5e75949363,170993000000.0,41.974538,-87.67952700000001,Chicago,IL,urban,North-nw Side Hs Network,Cook,f,f,Mr.,Visual Arts,Music & The Arts,Community Service,Applied Learning,Technology,highest poverty,Grades 9-12,985.85,60.0,t,10/15/13,11/15/13
13755,1c7947fb0193aa9970e5fffc105354ef,63867e890d5766a386954aad95f46a09,782589ae233316f728a7b7ff9c35ab14,290699000000.0,38.005355,-92.731434,Camdenton,MO,rural,Camdenton School District R3,Camden,f,f,Ms.,Mathematics,Math & Science,,,Technology,high poverty,Grades 6-8,765.87,100.0,f,3/5/13,5/25/13
86619,b14645e31a46582bec6b1ae04d0ed1de,c54b0bdbd8750eadfdc64ebf8a889148,1c199b75f2c1c8bf4bb31dcc20e03fa0,,32.78389,-96.806839,Dallas,TX,urban,Texas Dept of Education,Dallas,t,f,Mr.,Music,Music & The Arts,Performing Arts,Music & The Arts,Technology,highest poverty,Grades 3-5,963.06,375.0,t,9/1/13,10/20/13
109340,dfa1f4a68ac1c992e354f817eb8b46e9,c43a3ff18f6736ad3c76d6828fbda412,877651a80552a67b02088c9d2ae1bed9,270010000000.0,43.675757,-92.089528,Preston,MN,rural,Fillmore Central Sch Dist 2198,Fillmore,f,f,Mrs.,Literacy,Literacy & Language,Special Needs,Special Needs,Supplies,high poverty,Grades PreK-2,196.42,18.0,t,9/28/13,11/15/13
86621,b147457270918905273b3630c78b06cf,02b16a352f9e62f9c15e449e27ef47ec,bf820ac52cfed69b2ea1c19abba93d5d,320048000000.0,39.579674,-119.78533200000001,Sun Valley,NV,suburban,Washoe Co School District,Washoe,f,f,Mrs.,Literacy,Literacy & Language,ESL,Literacy & Language,Books,highest poverty,Grades 3-5,599.45,24.0,t,6/11/12,7/10/12
81834,a75ad78f4a467a901f8713f2163e7f34,7de4329bfca7c98f24491993916842f8,67d680e76e303247738b60f86fbe3f34,62271002892.0,34.232918,-118.429207,Arleta,CA,urban,Los Angeles Unif Sch Dist,Los Angeles,f,t,Mrs.,Literacy,Literacy & Language,Social Sciences,History & Civics,Other,highest poverty,Grades 3-5,226.69,31.0,f,12/23/12,2/3/13
48559,63fa338e180c326a623955f5914942cf,d3f01948a64e091cb9a12f8cd1278f64,6a62fe6ae67bd4c245a1c76db932018d,450363000000.0,34.855383,-81.976107,Roebuck,SC,rural,Spartanburg School District 6,Spartanburg,f,f,Mrs.,Literature & Writing,Literacy & Language,Literacy,Literacy & Language,Books,high poverty,Grades 9-12,558.11,120.0,f,9/9/12,10/5/12
54432,6ffd93da4696626304b936d8f2f24c8b,ee1d5b390abf872cc72ef2b7b0dc45fa,7130d1f8123598b14e87877f51048988,550039000000.0,44.243819,-88.392686,Appleton,WI,urban,Appleton Area School District,Outagamie,f,f,Ms.,Literacy,Literacy & Language,Special Needs,Special Needs,Supplies,high poverty,Grades 6-8,344.48,15.0,f,10/6/13,11/26/13
89510,b73ee0945583a222036f6239c5317aa8,5ec38223b6b5a1e9fc58c02914c9c269,c3d8d34e37c4e5f67fbc0ba5da2c4efb,421899000000.0,40.04332,-75.15080999999999,Philadelphia,PA,urban,Philadelphia City School Dist,Philadelphia,f,f,Mrs.,Mathematics,Math & Science,,,Books,highest poverty,Grades 3-5,1079.8,32.0,f,10/11/13,11/22/13
56043,737a0af6f72cbc336d134eb4ed9adb50,2b62945cdf0c056e19b947943f670937,bc132f0ed45d2741e192b40ee3e79a26,61488001883.0,33.767696,-117.9562,Garden Grove,CA,suburban,Garden Grove Unif School Dist,Orange,f,f,Mrs.,Literacy,Literacy & Language,ESL,Literacy & Language,Technology,high poverty,Grades PreK-2,710.82,25.0,f,11/20/13,3/15/14
106872,daa999f61704267870c4516ece952200,07b3f616e68fd901fc30ceb3dfe2fc06,c8f953788101fd7a7bad9c6f0cd4bc5d,40880000875.0,32.195518,-110.937523,Tucson,AZ,urban,Tucson Unified School Dist,Pima,f,f,Ms.,Mathematics,Math & Science,,,Technology,highest poverty,Grades 6-8,396.48,140.0,t,11/12/13,11/25/13
99429,cb8e21b443fee80e85fa42a331681efc,9cb708fb8ced8694d417996a5a8b9d90,49bc337651b31ae35bee9ff6c8cb29e0,510291000000.0,37.206276,-77.415315,Petersburg,VA,suburban,Petersburg School District,Petersburg City,f,f,Mrs.,Literacy,Literacy & Language,Mathematics,Math & Science,Technology,highest poverty,Grades PreK-2,501.41,21.0,f,7/8/13,7/13/13
117165,efe53070d3b83e4782cfcba25b47978c,51abff8907d547c2bba27d5f0cf98940,15d4293ef2cc76c6a810746e6791c206,320006000000.0,36.321234999999994,-115.30053400000001,Las Vegas,NV,rural,Clark Co School District,Clark,f,f,Ms.,Other,Applied Learning,Mathematics,Math & Science,Technology,moderate poverty,Grades 3-5,2350.84,31.0,f,11/24/13,1/31/14
49517,65de92d7bfd8d5a74dc677d616f6b3d9,a68584daac176e47a3d359d0f680411c,460dc408f160b437c5f6c7bd8e704ed5,403042000000.0,35.253677,-97.785728,Tuttle,OK,rural,Tuttle School District 97,Grady,f,f,Mrs.,Literacy,Literacy & Language,,,Supplies,moderate poverty,Grades PreK-2,464.76,130.0,f,5/13/12,8/10/12
19068,2748172f05ed22aa6968336eeff40e5b,b97c3e067a5f3587ad6f93a23902014d,c3a2b48ae4841b26a7d0b50ae3c1c7eb,551665000000.0,44.36477,-91.33210799999999,Whitehall,WI,rural,Whitehall School District,Trempealeau,f,f,Mrs.,College & Career Prep,Applied Learning,Environmental Science,Math & Science,Technology,moderate poverty,Grades 9-12,941.41,120.0,f,8/29/13,11/22/13
49685,663b5f2f288ef8fc62b68c52bb41a620,5aa9094a83f371b9e56de6b3517db7a5,6364dcdb0bca6f500081d3dfc4d104b3,260585000000.0,42.533512,-83.212898,Birmingham,MI,suburban,Public Sch Dist Of Birmingham,Oakland,f,f,Mrs.,Literacy,Literacy & Language,,,Books,low poverty,Grades PreK-2,1607.93,21.0,f,5/19/13,9/12/13
91456,bb37090eea413d1a8207127f8e731295,be06fea5f16aa2f38a3ff9814d23ab64,f4c03558f661d9e6551d264e92eb7611,470276000000.0,35.636556,-86.97211999999999,Columbia,TN,,Maury Co Public School Dist,Maury,f,f,Ms.,Music,Music & The Arts,Performing Arts,Music & The Arts,Supplies,high poverty,Grades 6-8,238.46,40.0,t,10/6/13,10/25/13
87115,b246522a7a2e3926f27fff720f1da44f,e48d06a9b13fbc26ff9da3ac97931e10,58a7bd5753fae32b37b1202a40ace8e4,482985000000.0,33.201798,-96.629722,Mckinney,TX,urban,Mckinney Ind School Dist,Collin,f,f,Mrs.,Mathematics,Math & Science,Applied Sciences,Math & Science,Supplies,highest poverty,Grades 3-5,439.51,20.0,t,8/29/12,10/4/12
